xid,name,url,stars,wikipedia,image,address,lon,lat,kinds_amount
W260877183,Villa Mabel,https://www.booking.com/hotel/it/villa-mabel.html,null,null,null,Taormina SIC ME Italia Vicolo Stretto 98039 it ,15.285893440246582,37.85204315185547,2
W478487835,Taormina Park Hotel,https://www.booking.com/hotel/it/bristol-park.html,4,null,null,Via Bagnoli Croce Taormina SIC ME Italia 98039 it ,15.292130470275879,37.85066223144531,2
N553159509,B&B Villa Floresta,https://www.booking.com/hotel/it/b-taormina1.html,null,null,null,Taormina SIC ME Italia 98039 Traversa degli Ebrei it ,15.282349586486816,37.85081481933594,2
N9037413919,Casa Fresta,https://www.booking.com/hotel/it/casa-fresta.html,null,null,null,Taormina SIC ME Italia 98039 Corso Umberto I it ,15.282238960266113,37.85115432739258,2
N4253040401,casa cuseni maison de charme,https://www.booking.com/hotel/it/casa-cuseni-maison-de-charme.html,null,null,null,Via Leonardo da Vinci Taormina SIC ME Italia 98039 it 5 ,15.282357215881348,37.852787017822266,2
N537995853,hotel isabella,https://www.booking.com/hotel/it/isabella-taormina.html,3,null,null,Taormina SIC ME Italia 98039 Corso Umberto I it 39 ,15.287877082824707,37.8532600402832,2
W474302627,The Ashbee Hotel,https://www.booking.com/hotel/it/the-ashbee.html,5,null,null,Viale San Pancrazio Taormina Cassata Travel SIC ME Italia 98039 it 50 ,15.290283203125,37.85588455200195,2
N1717783589,Hotel Condor,https://www.booking.com/hotel/it/condor-taormina.html,3,null,null,Via dietro Cappuccini Taormina Villa Nicedream SIC ME Italia 98039 it 2 ,15.286164283752441,37.85660171508789,2
N529371946,il piccolo giardino gh ***superior,https://www.booking.com/hotel/it/il-piccolo-giardino-3-stelle-superior.html,3,null,null,Taormina SIC ME Italia Salita Lucio Denti 98039 it ,15.287515640258789,37.853416442871094,2
N4208678093,cielo di taormina,https://www.booking.com/hotel/it/cielo-di-taormina.html,null,null,null,Via Circonvallazione Taormina B&B Cielo di Taormina SIC ME Italia 98039 it 5 ,15.287820816040039,37.854347229003906,2
N6176383086,hostel taormina - homstel,https://www.booking.com/hotel/it/hostel-taormina.html,null,null,null,Via Circonvallazione Taormina Hostel Taormina SIC ME Italia 98039 it 13 ,15.287510871887207,37.853660583496094,2
