,xid,name,url,stars,wikipedia,image,address,kinds,lon,lat
33,N2039090776,Hotel Cortese,https://www.booking.com/hotel/it/cortese-palermo.html,2,null,null,Palermo Via Scarparelli Hotel Cortese SIC PA I Circoscrizione Italia 90134 it 16 Albergheria ,"accomodations,other_hotels",13.35983943939209,38.11254119873047
34,N3781737698,hotel palazzo brunaccini,https://www.booking.com/hotel/it/palazzo-brunaccini.html,4,null,null,Palermo Piazzetta Lucrezia Brunaccini SIC PA I Circoscrizione Italia it Albergheria ,"accomodations,other_hotels",13.360857963562012,38.11231231689453
35,N6906525907,beeclaire guest house,https://www.booking.com/hotel/it/beeclaire-guest-house.html,null,null,null,Palermo Piazzetta Pietro Speciale BeeClaire SIC PA I Circoscrizione Italia 90134 it 9 Albergheria ,"accomodations,guest_houses,apartments",13.359867095947266,38.113834381103516
36,N5457347433,eurostars centrale palace hotel,https://www.booking.com/hotel/it/centrale-palace.html,4,null,null,Palermo Via Vittorio Emanuele Centrale Palace Hotel SIC PA I Circoscrizione Italia 90134 it 327 Albergheria ,"accomodations,other_hotels",13.36087417602539,38.115516662597656
37,N5476722835,quintocanto hotel & spa,https://www.booking.com/hotel/it/quinto-canto.html,4,null,null,Palermo Corso Vittorio Emanuele Quintocanto SIC PA I Circoscrizione Italia 90133 it 310 La Loggia ,"accomodations,other_hotels",13.3610200881958,38.11542892456055
38,N1704167337,la via delle biciclette,https://www.booking.com/hotel/it/la-via-delle-biciclette.html,null,null,null,Palermo Via Divisi SIC PA I Circoscrizione Italia 90140 it 84 Kalsa ,"accomodations,guest_houses",13.364408493041992,38.112796783447266
39,N3396241641,Hotel Columbia,https://www.booking.com/hotel/it/columbia-palermo.html,2,null,null,Palermo Via del Celso Hotel Columbia SIC PA I Circoscrizione Italia 90134 it 37 Il Capo ,"accomodations,other_hotels",13.359546661376953,38.11642074584961
40,N6816720112,nuvole residenza,https://www.booking.com/hotel/it/nuvole-residenza.html,null,null,null,Palermo Via del Celso Residenza Nuvole SIC PA I Circoscrizione Italia 90134 it 14 Il Capo ,"accomodations,guest_houses",13.359951972961426,38.11648178100586
41,N3334428333,Hostel Agata,https://www.booking.com/hotel/it/hostel-agata.html,null,null,null,Palermo Via Roma Bar Massaro SIC PA I Circoscrizione Italia 90133 it 182 Kalsa ,"accomodations,hostels",13.363848686218262,38.115806579589844
42,N2039096636,Hotel del Centro,https://www.booking.com/hotel/it/centropalermo.html,3,null,null,Palermo Via Roma Hotel del Centro SIC PA I Circoscrizione Italia 90133 it 72 Kalsa ,"accomodations,other_hotels",13.365293502807617,38.1128044128418
43,N3734672327,hotel ambasciatori,https://www.booking.com/hotel/it/ambasciatoripalermo.html,4,null,null,Palermo Via Roma Ambascatori SIC PA I Circoscrizione Italia 90133 it 111 Kalsa ,"accomodations,other_hotels",13.364953994750977,38.114139556884766
44,N1452362851,antica palermo b&b,https://www.booking.com/hotel/it/antica-palermo-b-amp-b.html,null,null,null,Palermo Vicolo Madonna del Cassaro SIC PA I Circoscrizione Italia 90133 it Kalsa ,"accomodations,guest_houses",13.36524772644043,38.11688995361328
45,N5358421154,al piazza marina palace,https://www.booking.com/hotel/it/al-piazza-marina.html,null,null,null,Palermo Via Lungarini Al Piazza Marina B&B SIC PA I Circoscrizione Italia 90133 it 48 Kalsa ,"accomodations,guest_houses",13.367386817932129,38.11570358276367
46,W563491324,38 Aira Hotels,https://www.booking.com/hotel/it/moderno-gestione-gesa.html,3,null,null,"Palermo Via Roma 38 Aira Hotels SIC PA I Circoscrizione Italia 90133 it 268,270,274,276 La Loggia ","accomodations,other_hotels",13.362630844116211,38.11775588989258
47,N7326442359,Hotel posta,https://www.booking.com/hotel/it/posta-palermo.html,3,null,null,Palermo Via Antonio Gagini SIC PA I Circoscrizione Italia 90133 it La Loggia ,"accomodations,other_hotels",13.361883163452148,38.120697021484375
48,N5130930845,Hotel posta,https://www.booking.com/hotel/it/posta-palermo.html,3,null,null,Palermo Via Antonio Gagini SIC PA I Circoscrizione Italia 90133 it La Loggia ,"accomodations,other_hotels",13.362199783325195,38.12021255493164
49,N1705791860,Hotel Palazzo Sitano,https://www.booking.com/hotel/it/hotel-palazzo-sitano.html,4,null,null,Palermo Via Vittorio Emanuele SIC PA I Circoscrizione Italia 90133 it 111 La Loggia ,"accomodations,other_hotels",13.366726875305176,38.11772537231445
50,N5328218066,Hotel Villa Archirafi,https://www.booking.com/hotel/it/villa-archirafi.html,2,null,null,Palermo Via Archirafi SIC PA I Circoscrizione Italia 90133 it 8 Kalsa ,"accomodations,other_hotels",13.37144947052002,38.11257553100586
51,N3736327325,hotel porta felice & spa,https://www.booking.com/hotel/it/porta-felice.html,4,null,null,Palermo Via Butera Porta Felice SIC PA I Circoscrizione Italia 90133 it 45 Kalsa ,"accomodations,other_hotels",13.371445655822754,38.117984771728516
52,N5809523339,Casa Marta,https://www.booking.com/hotel/it/marta-palermo.html,null,null,null,Palermo Via Ponte di Mare Casa Marta SIC PA II Circoscrizione Italia 90123 it 11 Settecannoli ,"accomodations,guest_houses,apartments",13.377796173095703,38.11261749267578
53,N3572505796,residenza d'aragona,https://www.booking.com/hotel/it/residenza-d-aragona.html,4,null,null,Palermo Via Ottavio d'Aragona Hotel Residenza d'Aragona SIC PA VIII Circoscrizione Italia 90139 it 25 ,"accomodations,other_hotels",13.360453605651855,38.12342071533203
54,N4485700344,Mercure Palermo Centro,https://www.booking.com/hotel/it/mercure-palermo-centro.html,4,null,null,Palermo Via Mariano Stabile Mercure Palermo Centro SIC PA VIII Circoscrizione Italia 90139 it 112 ,"accomodations,other_hotels",13.360272407531738,38.12376022338867
55,N4154751797,C'era una Volta,https://www.booking.com/hotel/it/c-39-era-una-volta.html,null,null,null,Palermo Via Principe di Granatelli C'era una Volta SIC PA VIII Circoscrizione Italia 90132 it 28 ,"accomodations,guest_houses",13.359846115112305,38.12428283691406
56,W83826054,Astoria Palace Hotel,https://www.booking.com/hotel/it/astoria-palace.html,4,null,null,Palermo SIC PA VIII Circoscrizione Italia 90142 it Acquasanta ,"accomodations,other_hotels",13.357343673706055,38.13936233520508
57,W279885156,Massimo Plaza Hotel,https://www.booking.com/hotel/it/massimo-plaza.html,4,null,null,Palermo Via Maqueda Massimo Plaza Hotel SIC PA I Circoscrizione Italia 90140 it 437 Il Capo ,"accomodations,other_hotels",13.358548164367676,38.12031936645508
58,W73395786,Splendid Hotel la Torre,https://www.booking.com/hotel/it/splendid-la-torre.html,4,null,null,Palermo SIC PA VII Circoscrizione Italia 90151 it Valdesi ,"accomodations,other_hotels",13.329704284667969,38.210792541503906
59,W182675995,Grand Hotel Piazza Borsa,https://www.booking.com/hotel/it/grand-piazza-borsa.html,4,null,null,Palermo Via dei Cartari SIC PA I Circoscrizione Italia 90133 it Kalsa ,"accomodations,other_hotels",13.365179061889648,38.116336822509766
60,N2590319335,Hotel Tonic,https://www.booking.com/hotel/it/tonic.html,3,null,null,Palermo Via Mariano Stabile Hotel Tonic SIC PA VIII Circoscrizione Italia 90139 it 126 ,"accomodations,other_hotels",13.35919189453125,38.12339782714844
61,N7148045081,Hotel Politeama,https://www.booking.com/hotel/it/politeama-palace.html,4,null,null,Palermo Piazza Ruggero Settimo SIC PA VIII Circoscrizione Italia 90132 Piazza Ruggero Settimo it ,"accomodations,other_hotels",13.355942726135254,38.1253662109375
62,W73411325,Mondello Palace Hotel,https://www.booking.com/hotel/it/mondello-palace.html,4,null,null,Palermo Via Principe di Scalea SIC PA VII Circoscrizione Italia 90151 it Valdesi ,"accomodations,other_hotels",13.325697898864746,38.20210266113281
63,W666188076,khalisah,https://www.booking.com/hotel/it/khalisah.html,null,null,null,Palermo Via Scopari SIC PA I Circoscrizione Italia 90133 it Kalsa ,"accomodations,guest_houses",13.370874404907227,38.11737823486328
64,R4285692,Hotel Bel 3,https://www.booking.com/hotel/it/bel3.html,3,null,null,Palermo SIC PA IV Circoscrizione Italia 90136 it Baida ,"accomodations,other_hotels",13.295863151550293,38.1123161315918
65,W278479436,Grand Hotel Wagner,https://www.booking.com/hotel/it/grand-wagner.html,5,null,null,Palermo Via Riccardo Wagner Bebop SIC PA VIII Circoscrizione Italia 90139 it 3 ,"accomodations,other_hotels",13.358590126037598,38.12360382080078
66,N4430278152,addaura hotel residence congressi,https://www.booking.com/hotel/it/addaura-residence-congressi.html,3,null,null,Palermo Lungomare Cristoforo Colombo Addaura Hotel Residence SIC PA VII Circoscrizione Italia 90149 it 4452 Vergine Maria ,"accomodations,other_hotels",13.345234870910645,38.19022750854492
67,N7691043705,Liberty Suites,https://www.booking.com/hotel/it/liberty-suites.html,null,null,null,Palermo Via Principe di Granatelli SIC PA VIII Circoscrizione Italia 90132 it 28 ,"accomodations,guest_houses",13.359869956970215,38.124298095703125
68,N6375718278,hotel joli,https://www.booking.com/hotel/it/joli.html,3,null,null,Palermo Via Michele Amari Joli SIC PA VIII Circoscrizione Italia 90139 it 11 ,"accomodations,other_hotels",13.360184669494629,38.124446868896484
69,N6437150585,Foresteria,http://www.lanoce.org/foresteria/,null,null,null,Palermo Via Giovanni Evangelista di Blasi Foresteria SIC PA V Circoscrizione Italia 90135 it 12 Olivuzza ,"accomodations,hostels",13.332558631896973,38.1217155456543
70,N5347853323,Parcheggio Auto Camper,https://www.greencarpalermo.it/,null,null,null,Palermo Via Quarto dei Mille Parcheggio Auto Camper SIC PA IV Circoscrizione Italia 90129 it 11B ,"campsites,accomodations",13.343117713928223,38.11018753051758
71,N722919037,Atheneum,http://www.albergoathenaeum.it/,3,null,null,Palermo Via Luigi Giannettino Atheneum SIC PA IV Circoscrizione Italia 90128 it 4 ,"accomodations,other_hotels",13.352341651916504,38.10456085205078
72,N380989345,Casa Marconi,null,null,null,null,Palermo Via Monfenera SIC PA IV Circoscrizione Italia 90128 it ,"guest_houses,accomodations",13.35408878326416,38.10430908203125
73,N380989341,Hotel Orleans,null,4,null,null,Palermo Via Monfenera SIC PA IV Circoscrizione Italia 90128 it ,"accomodations,other_hotels",13.355412483215332,38.106239318847656
74,N5662536638,Zisa House,null,null,null,null,Palermo Via Giuseppe Whitaker Zisa House SIC PA V Circoscrizione Italia 90138 it 5 Olivuzza ,"apartments,accomodations",13.34121036529541,38.118919372558594
75,N3998040388,conte federico apartments,https://www.booking.com/hotel/it/conte-federico-apartments.html,null,null,null,Palermo Via del Fondaco SIC PA I Circoscrizione Italia 90134 it Albergheria ,"accomodations,guest_houses,apartments",13.358551979064941,38.11233901977539
76,N1686203848,Bed&Breakfast Alvorada,null,null,null,null,Palermo Via Catalano SIC PA I Circoscrizione Italia 90134 it Il Capo ,"guest_houses,accomodations",13.35876178741455,38.11687088012695
77,N5409578059,Houel 30 b&b,null,null,null,null,Palermo Via Houel SIC PA VIII Circoscrizione Italia 90138 it 30 ,"guest_houses,accomodations",13.349772453308105,38.121734619140625
78,N5457347441,B&B Sant Agostino,null,null,null,null,Palermo Via Sant'Agostino B&B Sant Agostino SIC PA I Circoscrizione Italia 90134 it 174 Il Capo ,"guest_houses,accomodations",13.35557746887207,38.11778259277344
79,N5451557421,Hotel Verdi,null,null,null,null,Palermo Via Maqueda Hotel Verdi SIC PA I Circoscrizione Italia 90140 it 417 Il Capo ,"accomodations,other_hotels",13.358806610107422,38.11990737915039
80,N2413017450,A'to Casa,null,null,null,null,Palermo Via Mariano Stabile brioscia SIC PA VIII Circoscrizione Italia 90132 it 60 ,"guest_houses,accomodations",13.355835914611816,38.122310638427734
81,W648584944,PARKING GIOTTO,null,null,null,null,Palermo SIC PA VIII Circoscrizione Italia 90145 it ,"campsites,accomodations",13.332348823547363,38.13206481933594
82,W278479675,Grand Hotel Federico II,null,null,null,null,Palermo Via Principe di Granatelli Grand Hotel Federico II SIC PA VIII Circoscrizione Italia 90132 it 60 ,"accomodations,other_hotels",13.357961654663086,38.12346649169922
83,N5029316521,B&B Amelie,http://www.bb-amelie.it,null,null,null,Palermo B&B Amelie SIC PA VIII Circoscrizione Italia 90139 Via Principe di Belmonte it 94 ,"accomodations,other_hotels",13.357194900512695,38.123775482177734
84,N722919046,Chrystal Palace Hotel,null,null,null,null,Palermo Via Roma SIC PA VIII Circoscrizione Italia 90100 it ,"accomodations,other_hotels",13.35930061340332,38.124446868896484
85,N1359018764,le casette di lulu,https://www.booking.com/hotel/it/le-casette-di-lula1.html,null,null,null,Palermo Via Antonino Pecoraro SIC PA VIII Circoscrizione Italia 90144 it ,"accomodations,guest_houses,apartments",13.341426849365234,38.13404083251953
86,N306251854,B&B Il Mandarino,null,null,null,null,Palermo SIC PA VI Circoscrizione Italia 90147 it ,"accomodations,guest_houses",13.298311233520508,38.169044494628906
87,N2665435246,B&B Casa e Putia,http://www.facebook.com/casaeputia,null,null,null,Palermo Via Belgio B&B Casa e Putia SIC PA VI Circoscrizione Italia 90146 it 2 Resuttana ,"accomodations,motels",13.32965087890625,38.15060043334961
88,W648584373,IDEA VACANZE -PALERMO,null,null,null,null,Palermo Via Imperatore Federico IDEA VACANZE -PALERMO SIC PA VIII Circoscrizione Italia 90143 it 116 Acquasanta ,"campsites,accomodations",13.352302551269531,38.14802551269531
89,N5731324621,b&b mondello resort,https://www.booking.com/hotel/it/b-amp-b-mondello-resort.html,null,null,null,Palermo Via Egle B&B Mondello Resort Villa Dena SIC PA VII Circoscrizione Italia 90151 it 7 Valdesi ,"accomodations,guest_houses",13.323087692260742,38.19829559326172
90,N4375561505,airbnb,null,null,null,null,Palermo Via Stesicoro SIC PA VII Circoscrizione Italia 90151 it Valdesi ,"accomodations,other_hotels",13.321924209594727,38.205589294433594
91,N5215061375,Cassaro 261,null,null,null,null,Palermo Corso Vittorio Emanuele Cassaro 261 SIC PA I Circoscrizione Italia 90133 it 261 La Loggia ,"guest_houses,accomodations",13.362380981445312,38.11616134643555
92,N2498797195,Panormus,null,null,null,null,Palermo Via Roma Hotel del Centro SIC PA I Circoscrizione Italia 90133 it 72 Kalsa ,"guest_houses,accomodations",13.365352630615234,38.11274337768555
93,N7104862685,Students Apartment - bed and social dinner - new address,https://maps.app.goo.gl/hhC4561f1Tibqo6E7,null,null,null,Palermo Via Roma Students Apartment - bed and social dinner - new address SIC PA I Circoscrizione Italia 90133 it 59A Kalsa ,"accomodations,hostels",13.365670204162598,38.1129264831543
94,N5839438385,Veronica home 2,null,null,null,null,Palermo SIC PA I Circoscrizione Italia 90133 Via Principe di Resuttano it Kalsa ,"apartments,accomodations",13.36758804321289,38.116172790527344
95,N273826453,della_Lungarini,null,null,null,null,Palermo Via Lungarini SIC PA I Circoscrizione Italia 90133 it Kalsa ,"guest_houses,accomodations",13.368457794189453,38.116268157958984
96,N3334311909,B&B Al Giardino dell'Alloro,https://goo.gl/maps/P7OJf,null,null,null,Palermo Vicolo San Carlo SIC PA I Circoscrizione Italia 90133 it Kalsa ,"accomodations,hostels",13.36778736114502,38.11507797241211
97,N1594949821,Casa Seralcadio,null,null,null,null,Palermo Via Bari SIC PA I Circoscrizione Italia 90133 it La Loggia ,"guest_houses,accomodations",13.361504554748535,38.11811828613281
98,N4377582838,vucciria apartment 1,https://www.booking.com/hotel/it/vucciria-appartment.html,null,null,null,Palermo Via Argenteria Nuova Al Vucciria SIC PA I Circoscrizione Italia 90133 it 19 La Loggia ,"accomodations,hostels,apartments",13.364503860473633,38.117835998535156
99,N4582466900,Casa Ro,null,null,null,null,Palermo Via del Parlamento Casa Ro SIC PA I Circoscrizione Italia 90133 it 31 Kalsa ,"guest_houses,accomodations",13.366033554077148,38.117271423339844
100,N1930347435,Letizia,http://www.hotelletizia.com,null,null,null,Palermo Letizia SIC PA I Circoscrizione Italia 90133 Via Bottai it 30 Kalsa ,"accomodations,other_hotels",13.367295265197754,38.11750793457031
101,N5995502685,Appartemente di San Domenico,null,null,null,null,Palermo SIC PA I Circoscrizione Italia 90133 Via Tavola Tonda it La Loggia ,"apartments,accomodations",13.364891052246094,38.11967086791992
102,N2671412465,casa giuditta palermo central,https://www.booking.com/hotel/it/casa-giuditta-palermo-central.html,null,null,null,Palermo Via Savona Casa Giuditta Palermo Central Apartments Hotel SIC PA I Circoscrizione Italia 90133 it 10 Kalsa ,"accomodations,apartments",13.372527122497559,38.115966796875
103,N2985003755,Alfea;la Taverna dell'Artista,null,null,null,null,Palermo Via Principe di Belmonte SIC PA VIII Circoscrizione Italia 90100 it ,"guest_houses,accomodations,foods,restaurants,tourist_facilities",13.360907554626465,38.12549591064453
104,W117430179,Hotel Ibis Style,null,null,null,null,Palermo Via Francesco Crispi Hotel Ibis Style SIC PA VIII Circoscrizione Italia 90139 it 228 ,"accomodations,other_hotels",13.361270904541016,38.12843322753906
105,N6261900186,VillaEsperia,https://www.hotelvillaesperia.it/,null,null,null,Palermo Viale Margherita di Savoia VillaEsperia SIC PA VII Circoscrizione Italia 90151 it 53 Valdesi ,"accomodations,other_hotels",13.332059860229492,38.19333267211914
106,N271670964,Nh hotels,null,null,null,null,Palermo SIC PA I Circoscrizione Italia 90133 it Kalsa ,"accomodations,other_hotels",13.37498950958252,38.115291595458984
107,W83824702,Hotel Holiday Inn,null,4,null,null,Palermo Viale Regione Siciliana Nord Ovest SIC PA V Circoscrizione Italia 90145 it Olivuzza ,"accomodations,other_hotels",13.328888893127441,38.12715148925781
108,N1804960448,MiCasa,null,null,null,null,Palermo Via Ifigenia SIC PA VII Circoscrizione Italia 90151 it Valdesi ,"guest_houses,accomodations",13.311978340148926,38.196502685546875
109,N1678958374,Miki Mono,null,null,null,null,Palermo Via Lorenzo Iandolino SIC PA VII Circoscrizione Italia 90151 it Valdesi ,"guest_houses,accomodations",13.312088966369629,38.196533203125
110,N1678959817,Casa Vacanza Bilo Maxi,null,null,null,null,Palermo Via Ifigenia SIC PA VII Circoscrizione Italia 90151 it Valdesi ,"guest_houses,accomodations",13.31202220916748,38.196651458740234
111,W82238406,,null,null,null,null,Palermo Via Ruffo di Calabria Bel 3 Hotel SIC PA IV Circoscrizione Italia 90136 it 20 Baida ,"accomodations,other_hotels",13.295723915100098,38.112308502197266
112,W285429928,,null,null,null,null,Palermo Via Plauto Bellevue del Golfo SIC PA VII Circoscrizione Italia 90148 it 40 ,"accomodations,other_hotels",13.267779350280762,38.20085906982422
113,W285426310,,null,null,null,null,Palermo Via Plauto Bellevue del Golfo SIC PA VII Circoscrizione Italia 90148 it 40 ,"accomodations,other_hotels",13.268468856811523,38.20112991333008
114,W262811319,,null,null,null,null,Palermo Via Barcarello SIC PA VII Circoscrizione Italia 90148 it ,"campsites,accomodations",13.281767845153809,38.20451736450195
115,W73395702,,null,4,null,null,Palermo SIC PA VII Circoscrizione Italia 90151 it Valdesi ,"accomodations,other_hotels",13.328958511352539,38.21125030517578
116,N4661081893,,null,null,null,null,Palermo Via del Ciclope SIC PA VII Circoscrizione Italia 90151 it Valdesi ,"campsites,accomodations",13.324121475219727,38.20075988769531
