xid,name,url,stars,wikipedia,image,address,kinds,lon,lat
W416389735,Teatro Nuovo Montevergini,http://www.nuovomontevergini.com/it/index.jsp,null,https://it.wikipedia.org/wiki/Teatro%20Nuovo%20Montevergini,https://commons.wikimedia.org/wiki/File:Chiesa_di_Santa_Maria_delle_Grazie_di_Montevergine_%28Palermo%29.JPG,Palermo Via Montevergini Teatro Nuovo Montevergini SIC PA I Circoscrizione Italia 90134 it 8 Il Capo ,"religion,churches,cultural,theatres_and_entertainments,interesting_places,other_theatres,other_churches",13.358367919921875,38.11524200439453
W49786080,"Santa Maria della Pietà, Palermo",null,null,https://en.wikipedia.org/wiki/Santa%20Maria%20della%20Piet%C3%A0%2C%20Palermo,https://commons.wikimedia.org/wiki/File:Cr%C3%A8sia_di_Santa_Mar%C3%ACa_d%C3%A2_Piatati.jpg,Palermo Via Alloro SIC PA I Circoscrizione Italia 90133 it Kalsa ,"religion,churches,interesting_places,catholic_churches",13.37187671661377,38.1169319152832
W49865185,Chiesa di San Giuseppe Cafasso,null,null,https://it.wikipedia.org/wiki/Chiesa%20di%20San%20Giorgio%20in%20Kemonia,https://commons.wikimedia.org/wiki/File:Facade_-_San_Giuseppe_Cafasso_-_Palermo_-_Italy_2015.JPG,Palermo SIC PA I Circoscrizione Italia it Albergheria ,"religion,churches,interesting_places,catholic_churches",13.354767799377441,38.109291076660156
W233500615,Oratorio di San Lorenzo,https://turismo.comune.palermo.it/palermo-welcome-luogo-dettaglio.php?tp=68&det=16&id=63,null,https://en.wikipedia.org/wiki/Oratory%20of%20San%20Lorenzo%2C%20Palermo,https://commons.wikimedia.org/wiki/File:Oratorio_di_San_Lorenzo.JPG,Palermo SIC PA I Circoscrizione Italia 90133 Via dell'Immacolatella it Kalsa ,"religion,churches,interesting_places,catholic_churches",13.36630630493164,38.11680603027344
W279888077,Chiesa di San Gioacchino,null,null,https://it.wikipedia.org/wiki/Chiesa%20di%20San%20Gioacchino%20%28Palermo%29,https://commons.wikimedia.org/wiki/File:San_Gioacchino_all%27Olivella.jpg,Palermo Via San Basilio SIC PA I Circoscrizione Italia 90133 it La Loggia ,"religion,churches,interesting_places,catholic_churches",13.360356330871582,38.11927032470703
W49786257,Chiesa del Santo Spirito,null,null,https://en.wikipedia.org/wiki/Santo%20Spirito%2C%20Palermo,https://commons.wikimedia.org/wiki/File:Vespro22.jpg,Palermo SIC PA III Circoscrizione Italia 90127 it Guadagna ,"religion,churches,interesting_places,catholic_churches",13.362875938415527,38.09967041015625
W279886240,Chiesa di Santa Chiara,null,null,https://it.wikipedia.org/wiki/Chiesa%20di%20Santa%20Chiara%20%28Palermo%29,https://commons.wikimedia.org/wiki/File:Santa_Chiara_-_Facciata.jpg,Palermo Piazza Santa Chiara SIC PA I Circoscrizione Italia 90134 it Albergheria ,"religion,churches,interesting_places,catholic_churches",13.359916687011719,38.1130485534668
N618638079,Madonna dei Rimedi,null,null,https://it.wikipedia.org/wiki/Chiesa%20della%20Madonna%20dei%20Rimedi,https://commons.wikimedia.org/wiki/File:Chiesa_della_Madonna_dei_Rimedi%2C_Palermo.jpg,Palermo Corso Pisani SIC PA IV Circoscrizione Italia 90128 it ,"religion,churches,interesting_places,other_churches",13.350296974182129,38.10981369018555
W143740354,Chiesa di San Matteo al Cassaro,https://turismo.comune.palermo.it/palermo-welcome-luogo-dettaglio.php?tp=68&det=16&id=44,null,https://en.wikipedia.org/wiki/San%20Matteo%20al%20Cassaro,https://commons.wikimedia.org/wiki/File:Chiesa_di_San_Matteo_al_Cassaro_%28Palermo%29_-_Facciata1.JPG,Palermo Vicolo San Matteo SIC PA I Circoscrizione Italia 90133 it La Loggia ,"religion,churches,interesting_places,catholic_churches",13.362513542175293,38.11650848388672
W279887553,Chiesa di San Ranieri e dei Santi Quaranta Martiri Pisani,null,null,https://it.wikipedia.org/wiki/Chiesa%20di%20San%20Ranieri%20e%20dei%20Santi%20Quaranta%20Martiri%20Pisani,https://commons.wikimedia.org/wiki/File:Santi_Quaranta_Martiri.jpg,Palermo Vicolo Tortorici SIC PA I Circoscrizione Italia 90134 it Il Capo ,"religion,churches,interesting_places,other_churches",13.355557441711426,38.1160774230957
